State,Industry,Measure,Year,Pivot Field Values
Massachusetts,Total,Population,2016,6827280
Michigan,Total,Population,2016,9954117
Minnesota,Total,Population,2016,5525360
Mississippi,Total,Population,2016,2990595
Missouri,Total,Population,2016,6091384
Montana,Total,Population,2016,1042137
Nebraska,Total,Population,2016,1906483
Nevada,Total,Population,2016,2919555
New Hampshire,Total,Population,2016,1343694
New Jersey,Total,Population,2016,8873584
New Mexico,Total,Population,2016,2092555
New York,Total,Population,2016,19636391
North Carolina,Total,Population,2016,10161802
North Dakota,Total,Population,2016,756114
Ohio,Total,Population,2016,11640060
Oklahoma,Total,Population,2016,3928143
Oregon,Total,Population,2016,4093271
Pennsylvania,Total,Population,2016,12788468
Rhode Island,Total,Population,2016,1057816
South Carolina,Total,Population,2016,4963031
South Dakota,Total,Population,2016,863693
Tennessee,Total,Population,2016,6651277
Texas,Total,Population,2016,27914064
Utah,Total,Population,2016,3044241
Vermont,Total,Population,2016,624366
Virginia,Total,Population,2016,8417651
Washington,Total,Population,2016,7299961
West Virginia,Total,Population,2016,1832435
Wisconsin,Total,Population,2016,5775170
Wyoming,Total,Population,2016,585243
Puerto Rico,Total,Population,2016,3406672
Alabama,Total,Population,2017,4877989
Alaska,Total,Population,2017,740983
Arizona,Total,Population,2017,7048088
Arkansas,Total,Population,2017,3003855
California,Total,Population,2017,39337785
Colorado,Total,Population,2017,5617421
Connecticut,Total,Population,2017,3575324
Delaware,Total,Population,2017,957942
District of Columbia,Total,Population,2017,697079
Florida,Total,Population,2017,20977089
Georgia,Total,Population,2017,10417031
Hawaii,Total,Population,2017,1425763
Idaho,Total,Population,2017,1719745
Illinois,Total,Population,2017,12779893
Indiana,Total,Population,2017,6662068
Iowa,Total,Population,2017,3143734
Kansas,Total,Population,2017,2910892
Kentucky,Total,Population,2017,4455590
Louisiana,Total,Population,2017,4673673
Maine,Total,Population,2017,1335743
Maryland,Total,Population,2017,6028186
Massachusetts,Total,Population,2017,6863560
Michigan,Total,Population,2017,9976752
Minnesota,Total,Population,2017,5569283
Mississippi,Total,Population,2017,2990674
Missouri,Total,Population,2017,6111382
Montana,Total,Population,2017,1053862
Nebraska,Total,Population,2017,1916998
Nevada,Total,Population,2017,2972097
New Hampshire,Total,Population,2017,1350395
New Jersey,Total,Population,2017,8888147
New Mexico,Total,Population,2017,2092844
New York,Total,Population,2017,19593849
North Carolina,Total,Population,2017,10275758
North Dakota,Total,Population,2017,756755
Ohio,Total,Population,2017,11665706
Oklahoma,Total,Population,2017,3933602
Oregon,Total,Population,2017,4147294
Pennsylvania,Total,Population,2017,12794679
Rhode Island,Total,Population,2017,1056554
South Carolina,Total,Population,2017,5027102
South Dakota,Total,Population,2017,873732
Tennessee,Total,Population,2017,6714748
Texas,Total,Population,2017,28291024
Utah,Total,Population,2017,3103540
Vermont,Total,Population,2017,625132
Virginia,Total,Population,2017,8471011
Washington,Total,Population,2017,7427951
West Virginia,Total,Population,2017,1818683
Wisconsin,Total,Population,2017,5793147
Wyoming,Total,Population,2017,579994
Puerto Rico,Total,Population,2017,3325284
Alabama,Total,Population,2018,4891628
Alaska,Total,Population,2018,736624
Arizona,Total,Population,2018,7164228
Arkansas,Total,Population,2018,3012161
California,Total,Population,2018,39437463
Colorado,Total,Population,2018,5697155
Connecticut,Total,Population,2018,3574561
Delaware,Total,Population,2018,966985
District of Columbia,Total,Population,2018,704147
Florida,Total,Population,2018,21254926
Georgia,Total,Population,2018,10519389
Hawaii,Total,Population,2018,1423102
Idaho,Total,Population,2018,1752074
Illinois,Total,Population,2018,12724685
Indiana,Total,Population,2018,6698481
Iowa,Total,Population,2018,3149900
Kansas,Total,Population,2018,2912748
Kentucky,Total,Population,2018,4464273
Louisiana,Total,Population,2018,4664450
Maine,Total,Population,2018,1340123
Maryland,Total,Population,2018,6042153
Massachusetts,Total,Population,2018,6885720
Michigan,Total,Population,2018,9987286
Minnesota,Total,Population,2018,5608762
Mississippi,Total,Population,2018,2982879
Missouri,Total,Population,2018,6125986
Montana,Total,Population,2018,1061818
Nebraska,Total,Population,2018,1925512
Nevada,Total,Population,2018,3030725
New Hampshire,Total,Population,2018,1355064
New Jersey,Total,Population,2018,8891730
New Mexico,Total,Population,2018,2093754
New York,Total,Population,2018,19544098
North Carolina,Total,Population,2018,10391358
North Dakota,Total,Population,2018,760062
Ohio,Total,Population,2018,11680892
Oklahoma,Total,Population,2018,3943488
Oregon,Total,Population,2018,4183538
Pennsylvania,Total,Population,2018,12809107
Rhode Island,Total,Population,2018,1059338
South Carolina,Total,Population,2018,5091702
South Dakota,Total,Population,2018,879386
Tennessee,Total,Population,2018,6778180
Texas,Total,Population,2018,28624564
Utah,Total,Population,2018,3155153
Vermont,Total,Population,2018,624802
Virginia,Total,Population,2018,8510920
Washington,Total,Population,2018,7526793
West Virginia,Total,Population,2018,1805953
Wisconsin,Total,Population,2018,5809319
Wyoming,Total,Population,2018,579054
Puerto Rico,Total,Population,2018,3193344
Alabama,Total,Population,2019,4907965
Alaska,Total,Population,2019,733603
Arizona,Total,Population,2019,7291843
Arkansas,Total,Population,2019,3020985
California,Total,Population,2019,39437610
Colorado,Total,Population,2019,5758486
Connecticut,Total,Population,2019,3566022
Delaware,Total,Population,2019,976668
District of Columbia,Total,Population,2019,708253
Florida,Total,Population,2019,21492056
Georgia,Total,Population,2019,10628020
Hawaii,Total,Population,2019,1415615
Idaho,Total,Population,2019,1789060
Illinois,Total,Population,2019,12667017
Indiana,Total,Population,2019,6731010
Iowa,Total,Population,2019,3159596
Kansas,Total,Population,2019,2912635
Kentucky,Total,Population,2019,4472345
Louisiana,Total,Population,2019,4658285
Maine,Total,Population,2019,1345770
Maryland,Total,Population,2019,6054954
Massachusetts,Total,Population,2019,6894883
Michigan,Total,Population,2019,9984795
Minnesota,Total,Population,2019,5640053
Mississippi,Total,Population,2019,2978227
Missouri,Total,Population,2019,6140475
Montana,Total,Population,2019,1070123
Nebraska,Total,Population,2019,1932571
Nevada,Total,Population,2019,3090771
New Hampshire,Total,Population,2019,1360783
New Jersey,Total,Population,2019,8891258
New Mexico,Total,Population,2019,2099634
New York,Total,Population,2019,19463131
North Carolina,Total,Population,2019,10501384
North Dakota,Total,Population,2019,763724
Ohio,Total,Population,2019,11696507
Oklahoma,Total,Population,2019,3960676
Oregon,Total,Population,2019,4216116
Pennsylvania,Total,Population,2019,12798883
Rhode Island,Total,Population,2019,1058158
South Carolina,Total,Population,2019,5157702
South Dakota,Total,Population,2019,887127
Tennessee,Total,Population,2019,6830325
Texas,Total,Population,2019,28986794
Utah,Total,Population,2019,3203383
Vermont,Total,Population,2019,624046
Virginia,Total,Population,2019,8556642
Washington,Total,Population,2019,7614024
West Virginia,Total,Population,2019,1795263
Wisconsin,Total,Population,2019,5824581
Wyoming,Total,Population,2019,580116
Puerto Rico,Total,Population,2019,3193553
Alabama,Total,Population,2020,5031864
Alaska,Total,Population,2020,732964
Arizona,Total,Population,2020,7186683
Arkansas,Total,Population,2020,3014348
California,Total,Population,2020,39503200
Colorado,Total,Population,2020,5785219
Connecticut,Total,Population,2020,3577586
Delaware,Total,Population,2020,991862
District of Columbia,Total,Population,2020,670839
Florida,Total,Population,2020,21591299
Georgia,Total,Population,2020,10732390
Hawaii,Total,Population,2020,1451181
Idaho,Total,Population,2020,1849339
Illinois,Total,Population,2020,12790357
Indiana,Total,Population,2020,6789098
Iowa,Total,Population,2020,3190904
Kansas,Total,Population,2020,2938124
Kentucky,Total,Population,2020,4508155
Louisiana,Total,Population,2020,4652022
Maine,Total,Population,2020,1364517
Maryland,Total,Population,2020,6173689
Massachusetts,Total,Population,2020,6997713
Michigan,Total,Population,2020,10070627
Minnesota,Total,Population,2020,5710578
Mississippi,Total,Population,2020,2958409
Missouri,Total,Population,2020,6154426
Montana,Total,Population,2020,1087211
Nebraska,Total,Population,2020,1963273
Nevada,Total,Population,2020,3115840
New Hampshire,Total,Population,2020,1378702
New Jersey,Total,Population,2020,9272392
New Mexico,Total,Population,2020,2118488
New York,Total,Population,2020,20104710
North Carolina,Total,Population,2020,10453812
North Dakota,Total,Population,2020,779563
Ohio,Total,Population,2020,11798292
Oklahoma,Total,Population,2020,3965234
Oregon,Total,Population,2020,4245044
Pennsylvania,Total,Population,2020,12995477
Rhode Island,Total,Population,2020,1096444
South Carolina,Total,Population,2020,5132151
South Dakota,Total,Population,2020,887852
Tennessee,Total,Population,2020,6926091
Texas,Total,Population,2020,29234361
Utah,Total,Population,2020,3283982
Vermont,Total,Population,2020,642936
Virginia,Total,Population,2020,8637193
Washington,Total,Population,2020,7724566
West Virginia,Total,Population,2020,1791562
Wisconsin,Total,Population,2020,5896700
Wyoming,Total,Population,2020,577664
Puerto Rico,Total,Population,2020,3281557
Alabama,Total,Population,2021,5050380
Alaska,Total,Population,2021,734923
Arizona,Total,Population,2021,7272487
Arkansas,Total,Population,2021,3028443
California,Total,Population,2021,39145060
Colorado,Total,Population,2021,5811596
Connecticut,Total,Population,2021,3603691
Delaware,Total,Population,2021,1004881
District of Columbia,Total,Population,2021,669037
Florida,Total,Population,2021,21830708
Georgia,Total,Population,2021,10790385
Hawaii,Total,Population,2021,1446745
Idaho,Total,Population,2021,1904537
Illinois,Total,Population,2021,12690341
Indiana,Total,Population,2021,6813798
Iowa,Total,Population,2021,3197944
Kansas,Total,Population,2021,2937946
Kentucky,Total,Population,2021,4507600
Louisiana,Total,Population,2021,4627047
Maine,Total,Population,2021,1378787
Maryland,Total,Population,2021,6175045
Massachusetts,Total,Population,2021,6991951
Michigan,Total,Population,2021,10038117
Minnesota,Total,Population,2021,5717968
Mississippi,Total,Population,2021,2949582
Missouri,Total,Population,2021,6170393
Montana,Total,Population,2021,1106366
Nebraska,Total,Population,2021,1964253
Nevada,Total,Population,2021,3146632
New Hampshire,Total,Population,2021,1387494
New Jersey,Total,Population,2021,9269175
New Mexico,Total,Population,2021,2116950
New York,Total,Population,2021,19854526
North Carolina,Total,Population,2021,10567100
North Dakota,Total,Population,2021,777982
Ohio,Total,Population,2021,11765227
Oklahoma,Total,Population,2021,3991634
Oregon,Total,Population,2021,4256465
Pennsylvania,Total,Population,2021,13013614
Rhode Island,Total,Population,2021,1097092
South Carolina,Total,Population,2021,5193848
South Dakota,Total,Population,2021,896299
Tennessee,Total,Population,2021,6963709
Texas,Total,Population,2021,29561286
Utah,Total,Population,2021,3339284
Vermont,Total,Population,2021,647093
Virginia,Total,Population,2021,8657348
Washington,Total,Population,2021,7741433
West Virginia,Total,Population,2021,1785249
Wisconsin,Total,Population,2021,5879978
Wyoming,Total,Population,2021,579548
Puerto Rico,Total,Population,2021,3262693
Alabama,Total,Population,2022,5073903
Alaska,Total,Population,2022,733276
Arizona,Total,Population,2022,7365684
Arkansas,Total,Population,2022,3046404
California,Total,Population,2022,39040616
Colorado,Total,Population,2022,5841039
Connecticut,Total,Population,2022,3608706
Delaware,Total,Population,2022,1019459
District of Columbia,Total,Population,2022,670949
Florida,Total,Population,2022,22245521
Georgia,Total,Population,2022,10913150
Hawaii,Total,Population,2022,1439399
Idaho,Total,Population,2022,1938996
Illinois,Total,Population,2022,12582515
Indiana,Total,Population,2022,6832274
Iowa,Total,Population,2022,3199693
Kansas,Total,Population,2022,2936716
Kentucky,Total,Population,2022,4511563
Louisiana,Total,Population,2022,4588023
Maine,Total,Population,2022,1389338
Maryland,Total,Population,2022,6163981
Massachusetts,Total,Population,2022,6982740
Michigan,Total,Population,2022,10033281
Minnesota,Total,Population,2022,5714300
Mississippi,Total,Population,2022,2938928
Missouri,Total,Population,2022,6177168
Montana,Total,Population,2022,1122878
Nebraska,Total,Population,2022,1968060
Nevada,Total,Population,2022,3177421
New Hampshire,Total,Population,2022,1399003
New Jersey,Total,Population,2022,9260817
New Mexico,Total,Population,2022,2113476
New York,Total,Population,2022,19673200
North Carolina,Total,Population,2022,10695965
North Dakota,Total,Population,2022,778912
Ohio,Total,Population,2022,11759697
Oklahoma,Total,Population,2022,4019271
Oregon,Total,Population,2022,4239379
Pennsylvania,Total,Population,2022,12972091
Rhode Island,Total,Population,2022,1093842
South Carolina,Total,Population,2022,5282955
South Dakota,Total,Population,2022,909869
Tennessee,Total,Population,2022,7048976
Texas,Total,Population,2022,30029848
Utah,Total,Population,2022,3381236
Vermont,Total,Population,2022,647110
Virginia,Total,Population,2022,8679099
Washington,Total,Population,2022,7784477
West Virginia,Total,Population,2022,1774035
Wisconsin,Total,Population,2022,5890543
Wyoming,Total,Population,2022,581629
Puerto Rico,Total,Population,2022,3220113
Alabama,Total,Population,2023,5108468
Alaska,Total,Population,2023,733406
Arizona,Total,Population,2023,7431344
Arkansas,Total,Population,2023,3067732
California,Total,Population,2023,38965193
Colorado,Total,Population,2023,5877610
Connecticut,Total,Population,2023,3617176
Delaware,Total,Population,2023,1031890
District of Columbia,Total,Population,2023,678972
Florida,Total,Population,2023,22610726
Georgia,Total,Population,2023,11029227
Hawaii,Total,Population,2023,1435138
Idaho,Total,Population,2023,1964726
Illinois,Total,Population,2023,12549689
Indiana,Total,Population,2023,6862199
Iowa,Total,Population,2023,3207004
Kansas,Total,Population,2023,2940546
Kentucky,Total,Population,2023,4526154
Louisiana,Total,Population,2023,4573749
Maine,Total,Population,2023,1395722
Maryland,Total,Population,2023,6180253
Massachusetts,Total,Population,2023,7001399
Michigan,Total,Population,2023,10037261
Minnesota,Total,Population,2023,5737915
Mississippi,Total,Population,2023,2939690
Missouri,Total,Population,2023,6196156
Montana,Total,Population,2023,1132812
Nebraska,Total,Population,2023,1978379
Nevada,Total,Population,2023,3194176
New Hampshire,Total,Population,2023,1402054
New Jersey,Total,Population,2023,9290841
New Mexico,Total,Population,2023,2114371
New York,Total,Population,2023,19571216
North Carolina,Total,Population,2023,10835491
North Dakota,Total,Population,2023,783926
Ohio,Total,Population,2023,11785935
Oklahoma,Total,Population,2023,4053824
Oregon,Total,Population,2023,4233358
Pennsylvania,Total,Population,2023,12961683
Rhode Island,Total,Population,2023,1095962
South Carolina,Total,Population,2023,5373555
South Dakota,Total,Population,2023,919318
Tennessee,Total,Population,2023,7126489
Texas,Total,Population,2023,30503301
Utah,Total,Population,2023,3417734
Vermont,Total,Population,2023,647464
Virginia,Total,Population,2023,8715698
Washington,Total,Population,2023,7812880
West Virginia,Total,Population,2023,1770071
Wisconsin,Total,Population,2023,5910955
Wyoming,Total,Population,2023,584057
Puerto Rico,Total,Population,2023,3205691
Alabama,Air transportation,     Annual Payroll (thousands),2010,32067
Alabama,Air transportation,     Business Establishments,2010,76
Alabama,Air transportation,Transportation Employees,2010,671
Alaska,Air transportation,     Annual Payroll (thousands),2010,280594
Alaska,Air transportation,     Business Establishments,2010,219
Alaska,Air transportation,Transportation Employees,2010,5625
Arizona,Air transportation,     Annual Payroll (thousands),2010,911431
Arizona,Air transportation,     Business Establishments,2010,128
Arizona,Air transportation,Transportation Employees,2010,13605
Arkansas,Air transportation,     Annual Payroll (thousands),2010,41630
Arkansas,Air transportation,     Business Establishments,2010,47
Arkansas,Air transportation,Transportation Employees,2010,800
California,Air transportation,     Annual Payroll (thousands),2010,2447783
California,Air transportation,     Business Establishments,2010,546
California,Air transportation,Transportation Employees,2010,40750
Colorado,Air transportation,     Annual Payroll (thousands),2010,597070
Colorado,Air transportation,     Business Establishments,2010,119
Colorado,Air transportation,Transportation Employees,2010,12458
Connecticut,Air transportation,     Annual Payroll (thousands),2010,104109
Connecticut,Air transportation,     Business Establishments,2010,83
Connecticut,Air transportation,Transportation Employees,2010,1479
Delaware,Air transportation,     Annual Payroll (thousands),2010,11964
Delaware,Air transportation,     Business Establishments,2010,31
Delaware,Air transportation,Transportation Employees,2010,126
Florida,Air transportation,     Annual Payroll (thousands),2010,1737830
Florida,Air transportation,     Business Establishments,2010,616
Florida,Air transportation,Transportation Employees,2010,30387
Georgia,Air transportation,     Annual Payroll (thousands),2010,2494147
Georgia,Air transportation,     Business Establishments,2010,179
Georgia,Air transportation,Transportation Employees,2010,38919
Hawaii,Air transportation,     Annual Payroll (thousands),2010,341735
Hawaii,Air transportation,     Business Establishments,2010,75
Hawaii,Air transportation,Transportation Employees,2010,7088
Idaho,Air transportation,     Annual Payroll (thousands),2010,32937
Idaho,Air transportation,     Business Establishments,2010,83
Idaho,Air transportation,Transportation Employees,2010,823
Illinois,Air transportation,     Annual Payroll (thousands),2010,2176816
Illinois,Air transportation,     Business Establishments,2010,284
Illinois,Air transportation,Transportation Employees,2010,32537
Indiana,Air transportation,     Annual Payroll (thousands),2010,252102
Indiana,Air transportation,     Business Establishments,2010,99
Indiana,Air transportation,Transportation Employees,2010,5946
Iowa,Air transportation,     Annual Payroll (thousands),2010,22591
Iowa,Air transportation,     Business Establishments,2010,38
Iowa,Air transportation,Transportation Employees,2010,611
Kansas,Air transportation,     Annual Payroll (thousands),2010,18777
Kansas,Air transportation,     Business Establishments,2010,56
Kansas,Air transportation,Transportation Employees,2010,457
Kentucky,Air transportation,     Annual Payroll (thousands),2010,273265
Kentucky,Air transportation,     Business Establishments,2010,83
Kentucky,Air transportation,Transportation Employees,2010,5245
Louisiana,Air transportation,     Annual Payroll (thousands),2010,174829
Louisiana,Air transportation,     Business Establishments,2010,116
Louisiana,Air transportation,Transportation Employees,2010,2970
Maine,Air transportation,     Annual Payroll (thousands),2010,8113
Maine,Air transportation,     Business Establishments,2010,38
Maine,Air transportation,Transportation Employees,2010,315
Maryland,Air transportation,     Annual Payroll (thousands),2010,295016
Maryland,Air transportation,     Business Establishments,2010,69
Maryland,Air transportation,Transportation Employees,2010,4133
Massachusetts,Air transportation,     Annual Payroll (thousands),2010,348183
Massachusetts,Air transportation,     Business Establishments,2010,110
Massachusetts,Air transportation,Transportation Employees,2010,6822
Michigan,Air transportation,     Annual Payroll (thousands),2010,835630
Michigan,Air transportation,     Business Establishments,2010,147
Michigan,Air transportation,Transportation Employees,2010,13379
Minnesota,Air transportation,     Annual Payroll (thousands),2010,848501
Minnesota,Air transportation,     Business Establishments,2010,93
Minnesota,Air transportation,Transportation Employees,2010,13246
Mississippi,Air transportation,     Annual Payroll (thousands),2010,11371
Mississippi,Air transportation,     Business Establishments,2010,43
Mississippi,Air transportation,Transportation Employees,2010,328
Missouri,Air transportation,     Annual Payroll (thousands),2010,268066
Missouri,Air transportation,     Business Establishments,2010,84
Missouri,Air transportation,Transportation Employees,2010,4305
Montana,Air transportation,     Annual Payroll (thousands),2010,16369
Montana,Air transportation,     Business Establishments,2010,60
Montana,Air transportation,Transportation Employees,2010,543
Nebraska,Air transportation,     Annual Payroll (thousands),2010,19800
Nebraska,Air transportation,     Business Establishments,2010,42
Nebraska,Air transportation,Transportation Employees,2010,539
Nevada,Air transportation,     Annual Payroll (thousands),2010,376871
Nevada,Air transportation,     Business Establishments,2010,96
Nevada,Air transportation,Transportation Employees,2010,5995
New Hampshire,Air transportation,     Annual Payroll (thousands),2010,26696
New Hampshire,Air transportation,     Business Establishments,2010,45
New Hampshire,Air transportation,Transportation Employees,2010,491
New Jersey,Air transportation,     Annual Payroll (thousands),2010,1018345
New Jersey,Air transportation,     Business Establishments,2010,143
New Jersey,Air transportation,Transportation Employees,2010,16705
New Mexico,Air transportation,     Annual Payroll (thousands),2010,55250
New Mexico,Air transportation,     Business Establishments,2010,48
New Mexico,Air transportation,Transportation Employees,2010,1223
New York,Air transportation,     Annual Payroll (thousands),2010,1855398
New York,Air transportation,     Business Establishments,2010,329
New York,Air transportation,Transportation Employees,2010,30929
North Carolina,Air transportation,     Annual Payroll (thousands),2010,586359
North Carolina,Air transportation,     Business Establishments,2010,124
North Carolina,Air transportation,Transportation Employees,2010,12343
North Dakota,Air transportation,     Annual Payroll (thousands),2010,3485
North Dakota,Air transportation,     Business Establishments,2010,23
North Dakota,Air transportation,Transportation Employees,2010,105
Ohio,Air transportation,     Annual Payroll (thousands),2010,730453
Ohio,Air transportation,     Business Establishments,2010,143
Ohio,Air transportation,Transportation Employees,2010,10455
Oklahoma,Air transportation,     Annual Payroll (thousands),2010,462977
Oklahoma,Air transportation,     Business Establishments,2010,62
Oklahoma,Air transportation,Transportation Employees,2010,7366
Oregon,Air transportation,     Annual Payroll (thousands),2010,198370
Oregon,Air transportation,     Business Establishments,2010,87
Oregon,Air transportation,Transportation Employees,2010,3965
Pennsylvania,Air transportation,     Annual Payroll (thousands),2010,639180
Pennsylvania,Air transportation,     Business Establishments,2010,174
Pennsylvania,Air transportation,Transportation Employees,2010,12558
Rhode Island,Air transportation,     Annual Payroll (thousands),2010,13390
Rhode Island,Air transportation,     Business Establishments,2010,25
Rhode Island,Air transportation,Transportation Employees,2010,353
South Carolina,Air transportation,     Annual Payroll (thousands),2010,42075
South Carolina,Air transportation,     Business Establishments,2010,79
South Carolina,Air transportation,Transportation Employees,2010,1037
South Dakota,Air transportation,     Annual Payroll (thousands),2010,6204
South Dakota,Air transportation,     Business Establishments,2010,31
South Dakota,Air transportation,Transportation Employees,2010,211
Tennessee,Air transportation,     Annual Payroll (thousands),2010,258828
Tennessee,Air transportation,     Business Establishments,2010,105
Tennessee,Air transportation,Transportation Employees,2010,5875
Texas,Air transportation,     Annual Payroll (thousands),2010,4175645
Texas,Air transportation,     Business Establishments,2010,490
Texas,Air transportation,Transportation Employees,2010,60365
Utah,Air transportation,     Annual Payroll (thousands),2010,344568
Utah,Air transportation,     Business Establishments,2010,54
Utah,Air transportation,Transportation Employees,2010,6502
Vermont,Air transportation,     Annual Payroll (thousands),2010,5010
Vermont,Air transportation,     Business Establishments,2010,13
Vermont,Air transportation,Transportation Employees,2010,134
Virginia,Air transportation,     Annual Payroll (thousands),2010,735507
Virginia,Air transportation,     Business Establishments,2010,168
Virginia,Air transportation,Transportation Employees,2010,13668
Washington,Air transportation,     Annual Payroll (thousands),2010,666814
Washington,Air transportation,     Business Establishments,2010,127
Washington,Air transportation,Transportation Employees,2010,10259
West Virginia,Air transportation,     Annual Payroll (thousands),2010,5739
West Virginia,Air transportation,     Business Establishments,2010,37
West Virginia,Air transportation,Transportation Employees,2010,185
Wisconsin,Air transportation,     Annual Payroll (thousands),2010,95464
Wisconsin,Air transportation,     Business Establishments,2010,83
Wisconsin,Air transportation,Transportation Employees,2010,2468
Wyoming,Air transportation,     Annual Payroll (thousands),2010,26485
Wyoming,Air transportation,     Business Establishments,2010,31
Wyoming,Air transportation,Transportation Employees,2010,824
Alabama,Couriers and messengers,     Annual Payroll (thousands),2010,200866
Alabama,Couriers and messengers,     Business Establishments,2010,194
Alabama,Couriers and messengers,Transportation Employees,2010,5029
Alaska,Couriers and messengers,     Annual Payroll (thousands),2010,240101
Alaska,Couriers and messengers,     Business Establishments,2010,57
Alaska,Couriers and messengers,Transportation Employees,2010,2532
Arizona,Couriers and messengers,     Annual Payroll (thousands),2010,326967
Arizona,Couriers and messengers,     Business Establishments,2010,303
Arizona,Couriers and messengers,Transportation Employees,2010,8256
Arkansas,Couriers and messengers,     Annual Payroll (thousands),2010,121184
Arkansas,Couriers and messengers,     Business Establishments,2010,146
Arkansas,Couriers and messengers,Transportation Employees,2010,3041
California,Couriers and messengers,     Annual Payroll (thousands),2010,2511253
California,Couriers and messengers,     Business Establishments,2010,1586
California,Couriers and messengers,Transportation Employees,2010,58152
Colorado,Couriers and messengers,     Annual Payroll (thousands),2010,331963
Colorado,Couriers and messengers,     Business Establishments,2010,342
Colorado,Couriers and messengers,Transportation Employees,2010,8534
Connecticut,Couriers and messengers,     Annual Payroll (thousands),2010,257576
Connecticut,Couriers and messengers,     Business Establishments,2010,186
Connecticut,Couriers and messengers,Transportation Employees,2010,6206
Delaware,Couriers and messengers,     Annual Payroll (thousands),2010,48042
Delaware,Couriers and messengers,     Business Establishments,2010,61
Delaware,Couriers and messengers,Transportation Employees,2010,1215
Florida,Couriers and messengers,     Annual Payroll (thousands),2010,1155773
Florida,Couriers and messengers,     Business Establishments,2010,1278
Florida,Couriers and messengers,Transportation Employees,2010,27862
Georgia,Couriers and messengers,     Annual Payroll (thousands),2010,980513
Georgia,Couriers and messengers,     Business Establishments,2010,466
Georgia,Couriers and messengers,Transportation Employees,2010,18396
Hawaii,Couriers and messengers,     Annual Payroll (thousands),2010,57298
Hawaii,Couriers and messengers,     Business Establishments,2010,65
Hawaii,Couriers and messengers,Transportation Employees,2010,1433
Idaho,Couriers and messengers,     Annual Payroll (thousands),2010,69089
Idaho,Couriers and messengers,     Business Establishments,2010,130
Idaho,Couriers and messengers,Transportation Employees,2010,1817
Illinois,Couriers and messengers,     Annual Payroll (thousands),2010,624818
Illinois,Couriers and messengers,     Business Establishments,2010,715
Illinois,Couriers and messengers,Transportation Employees,2010,16615
Indiana,Couriers and messengers,     Annual Payroll (thousands),2010,498445
Indiana,Couriers and messengers,     Business Establishments,2010,334
Indiana,Couriers and messengers,Transportation Employees,2010,14467
Iowa,Couriers and messengers,     Annual Payroll (thousands),2010,175472
Iowa,Couriers and messengers,     Business Establishments,2010,220
Iowa,Couriers and messengers,Transportation Employees,2010,4756
Kansas,Couriers and messengers,     Annual Payroll (thousands),2010,248500
Kansas,Couriers and messengers,     Business Establishments,2010,225
Kansas,Couriers and messengers,Transportation Employees,2010,6634
Kentucky,Couriers and messengers,     Annual Payroll (thousands),2010,1361982
Kentucky,Couriers and messengers,     Business Establishments,2010,294
Kentucky,Couriers and messengers,Transportation Employees,2010,23641
Louisiana,Couriers and messengers,     Annual Payroll (thousands),2010,188296
Louisiana,Couriers and messengers,     Business Establishments,2010,235
Louisiana,Couriers and messengers,Transportation Employees,2010,4597
Maine,Couriers and messengers,     Annual Payroll (thousands),2010,72054
Maine,Couriers and messengers,     Business Establishments,2010,89
Maine,Couriers and messengers,Transportation Employees,2010,1785
Maryland,Couriers and messengers,     Annual Payroll (thousands),2010,462331
Maryland,Couriers and messengers,     Business Establishments,2010,360
Maryland,Couriers and messengers,Transportation Employees,2010,11464
Massachusetts,Couriers and messengers,     Annual Payroll (thousands),2010,433087
Massachusetts,Couriers and messengers,     Business Establishments,2010,343
Massachusetts,Couriers and messengers,Transportation Employees,2010,10675
Michigan,Couriers and messengers,     Annual Payroll (thousands),2010,449130
Michigan,Couriers and messengers,     Business Establishments,2010,413
Michigan,Couriers and messengers,Transportation Employees,2010,10168
Minnesota,Couriers and messengers,     Annual Payroll (thousands),2010,373273
Minnesota,Couriers and messengers,     Business Establishments,2010,299
Minnesota,Couriers and messengers,Transportation Employees,2010,9737
Mississippi,Couriers and messengers,     Annual Payroll (thousands),2010,123490
Mississippi,Couriers and messengers,     Business Establishments,2010,136
Mississippi,Couriers and messengers,Transportation Employees,2010,3435
Missouri,Couriers and messengers,     Annual Payroll (thousands),2010,326692
Missouri,Couriers and messengers,     Business Establishments,2010,400
Missouri,Couriers and messengers,Transportation Employees,2010,8392
Montana,Couriers and messengers,     Annual Payroll (thousands),2010,66039
Montana,Couriers and messengers,     Business Establishments,2010,105
Montana,Couriers and messengers,Transportation Employees,2010,1733
Nebraska,Couriers and messengers,     Annual Payroll (thousands),2010,114997
Nebraska,Couriers and messengers,     Business Establishments,2010,144
Nebraska,Couriers and messengers,Transportation Employees,2010,2949
Nevada,Couriers and messengers,     Annual Payroll (thousands),2010,154932
Nevada,Couriers and messengers,     Business Establishments,2010,168
Nevada,Couriers and messengers,Transportation Employees,2010,3868
New Hampshire,Couriers and messengers,     Annual Payroll (thousands),2010,85678
New Hampshire,Couriers and messengers,     Business Establishments,2010,86
New Hampshire,Couriers and messengers,Transportation Employees,2010,2151
New Jersey,Couriers and messengers,     Annual Payroll (thousands),2010,873312
New Jersey,Couriers and messengers,     Business Establishments,2010,438
New Jersey,Couriers and messengers,Transportation Employees,2010,21444
New Mexico,Couriers and messengers,     Annual Payroll (thousands),2010,82541
New Mexico,Couriers and messengers,     Business Establishments,2010,110
